;shortName;name;name_web;puissance
143;Rīga FC;Rīga FC;;100
144;Maccabi TA;Maccabi Tel Aviv FC;MaccabiHaifa;2302
145;Valur;KF Valur;;100
146;Ferencváros;Ferencvárosi TC;Ferencváros;1735
147;PAOK FC;PAOK FC;PAOK;3673
148;Lincoln;Lincoln Red Imps FC;;100
149;Crvena Zvedza;FK Crvena Zvezda;CrvenaZvezda;3994
150;Sutjeska Nik;FK Sutjeska Nikšić;Sutjeska;210
151;Shkëndija 79;KF Shkëndija 79;;100
152;Partizani;FK Partizani;;100
153;Sl. Bratislava;ŠK Slovan Bratislava;SlovanBratislava;3493
154;Feronikeli;KF Feronikeli;;100
155;Tre Penne;SP Tre Penne;;100
156;Ararat-Armenia;FC Ararat-Armenia;Ararat-Armenia;423
157;Saburtalo;FC Saburtalo;Saburtalo;244
158;HB;HB;;100
159;Rio Ave;Rio Ave FC;;100
160;Sporting CP;Sporting Clube de Portugal;SportingBraga;5314
162;Paços Ferreira;FC Paços de Ferreira;PaçosdeFerreira;1215
163;Moreirense;Moreirense FC;Moreirense;1842
164;Boavista;Boavista FC;Boavista;2325
165;Tondela;CD Tondela;Tondela;1729
167;Santa Clara;CD Santa Clara;SantaFe;3175
168;Famalicão;FC Famalicão;Famalicão;2300
169;Gil Vicente;Gil Vicente FC;GilVicente;1346
170;Vitória SC;Vitória SC;VitóriaGuimarães;3593
171;Aves;CD Aves;DesportivoAves;1159
172;Belenenses;Os Belenenses Futebol;Belenenses;1589
173;Marítimo;CS Marítimo;Marítimo;1672
174;Portimonense;Portimonense SC;Portimonense;1067
175;Braga;Sporting Clube de Braga;SportingBraga;5314
176;Vitória FC;Vitória FC;VitóriaGuimarães;3593
