;score;puissance_homeTeam;puissance_awayTeam;win_cons_home;win_cons_away;lose_cons_home;lose_cons_away;score
409;2;6821;3890;0;0;0;2;2
410;0;2956;7151;1;0;0;1;0
411;1;10390;2512;1;0;0;1;1
412;0;3890;2817;1;0;0;3;0
413;0;8832;3883;1;0;0;1;0
414;1;5188;2482;1;0;0;1;1
415;1;2705;1880;1;0;0;1;1
416;1;4146;1553;1;1;0;0;1
417;2;3781;14695;0;3;0;0;2
418;1;3982;7311;0;0;1;0;1
419;0;7938;6821;0;0;1;1;0
420;1;14695;3890;4;0;0;0;1
421;2;7311;8832;0;0;1;0;2
422;1;6821;4146;0;2;0;0;1
423;1;7151;5188;0;2;0;0;1
424;2;3883;2956;0;0;0;0;2
425;0;2512;3781;0;0;2;1;0
426;1;1880;10390;0;2;2;0;1
427;1;2482;3982;0;1;2;0;1
428;0;2817;7938;0;0;0;0;0
429;0;1553;2705;0;2;1;0;0
430;2;2956;2482;1;1;0;0;2
431;1;5188;6821;0;0;1;0;1
432;1;10390;2817;1;0;0;0;1
433;2;3982;3883;0;0;1;1;2
434;1;3781;1880;0;1;0;0;1
435;0;3890;2512;0;0;1;0;0
436;1;2705;7151;0;1;0;0;1
437;0;4146;7311;0;0;1;2;0
438;1;7938;1553;0;0;0;0;1
439;2;8832;14695;0;0;1;1;2
440;2;3883;14695;1;1;0;0;2
441;1;7311;2817;0;0;0;1;1
442;0;1553;3781;0;1;1;0;0
443;1;8832;2512;0;0;2;0;1
444;1;6821;2956;0;0;1;1;1
445;1;4146;1880;0;0;0;1;1
446;0;2482;2705;2;1;0;0;0
447;2;3982;10390;0;2;2;0;2
448;1;5188;3890;1;0;0;0;1
449;0;7151;7938;0;1;1;0;0
450;1;2512;6821;0;0;1;1;1
451;1;14695;5188;3;2;0;0;1
452;2;1880;1553;0;0;2;0;2
453;1;3781;3982;0;0;0;3;1
454;0;2817;3883;0;0;2;1;0
455;2;2705;4146;0;1;0;0;2
456;2;10390;7311;4;1;0;0;2
457;1;7938;2482;0;0;0;0;1
458;2;2956;8832;0;2;2;0;2
459;1;3890;7151;0;0;1;0;1
460;1;3982;2705;0;0;4;1;1
461;0;7311;2956;2;0;0;3;0
462;1;1553;2512;1;1;0;0;1
463;1;8832;3890;3;1;0;0;1
464;0;6821;2817;0;0;2;0;0
465;1;5188;3781;0;1;1;0;1
466;0;2482;1880;0;0;1;3;0
467;2;4146;10390;2;0;0;1;2
468;0;7151;14695;0;4;1;0;0
469;1;3883;7938;0;1;0;0;1
470;2;2956;5188;0;1;0;0;2
471;1;10390;1553;2;2;0;0;1
472;0;2705;3883;0;1;2;0;0
473;1;2512;3982;0;1;1;0;1
474;0;2817;2482;0;0;0;0;0
475;2;3781;8832;0;5;1;0;2
476;0;3890;7311;0;0;1;0;0
477;1;14695;6821;1;1;0;0;1
478;0;7938;4146;0;0;1;1;0
479;2;1880;7151;0;0;0;0;2
480;1;2482;7151;0;1;0;0;1
481;1;2512;1880;1;0;0;1;1
482;2;1553;14695;0;2;1;0;2
483;1;10390;2956;3;0;0;1;1
484;0;7938;7311;0;0;0;0;0
485;1;3883;3781;0;0;0;2;1
486;2;2705;3890;0;0;0;0;2
487;2;2817;8832;0;6;0;0;2
488;2;4146;5188;0;2;0;0;2
489;0;3982;6821;0;0;1;1;0
490;2;1880;2817;0;0;2;1;2
491;1;8832;4146;0;0;0;1;1
492;1;3890;2482;1;1;0;0;1
493;0;6821;3883;1;1;0;0;0
494;1;3781;2705;0;0;3;1;1
495;2;2956;3982;0;0;2;0;2
496;1;5188;7938;3;0;0;0;1
497;1;7311;1553;0;0;0;2;1
498;1;7151;2512;0;2;1;0;1
499;1;14695;10390;4;0;0;0;1
500;2;2705;6821;0;0;2;0;2
501;0;7938;2956;0;0;1;3;0
502;2;3982;1880;1;0;0;3;2
503;2;4146;14695;0;5;2;0;2
504;2;2512;5188;0;4;1;0;2
505;2;2817;3781;1;1;0;0;2
506;2;2482;7311;0;1;1;0;2
507;1;10390;8832;0;1;1;0;1
508;0;3883;7151;0;1;0;0;0
509;1;1553;3890;0;2;3;0;1
510;0;3890;10390;0;0;1;0;0
511;1;14695;2512;0;0;0;2;1
512;2;8832;2705;0;0;0;3;2
513;1;6821;2482;2;0;0;2;1
514;2;3781;4146;2;0;0;3;2
515;1;2956;2817;0;0;0;1;1
516;0;7311;3883;2;0;0;0;0
517;0;1880;7938;1;0;0;0;0
518;0;7151;1553;0;1;0;0;0
519;1;5188;3982;5;0;0;1;1
520;1;4146;2482;1;0;0;3;1
521;2;3781;10390;0;0;1;0;2
522;1;7311;2705;0;1;0;0;1
523;1;7151;6821;0;3;0;0;1
524;1;5188;2817;6;0;0;2;1
525;1;8832;1553;0;0;1;0;1
526;1;2956;1880;1;0;0;0;1
527;1;14695;3982;1;0;0;2;1
528;2;3883;3890;0;0;0;0;2
529;2;7938;2512;0;0;0;3;2
530;1;3982;8832;0;1;3;0;1
531;1;6821;3781;0;0;1;2;1
532;0;2817;4146;0;2;3;0;0
533;2;2482;14695;0;2;4;0;2
534;2;10390;7151;1;1;0;0;2
535;2;1553;5188;0;7;1;0;2
536;1;3890;2956;1;2;0;0;1
537;2;1880;3883;0;0;1;1;2
538;0;2512;7311;1;1;0;0;0
539;2;2705;7938;0;0;1;1;2
540;1;14695;2817;4;0;0;0;1
541;2;8832;2482;1;0;0;5;2
542;1;3883;1553;1;0;0;2;1
543;0;5188;1880;8;0;0;2;0
544;1;3781;3890;0;2;3;0;1
545;2;2956;2705;0;0;1;2;2
546;2;7311;6821;0;0;0;1;2
547;0;7151;3982;2;1;0;0;0
548;2;7938;10390;1;1;0;0;2
549;0;4146;2512;0;0;0;0;0
550;0;3982;7938;0;0;0;1;0
551;2;1553;2956;0;0;3;2;2
552;1;3890;4146;0;0;1;0;1
553;2;1880;7311;0;0;0;1;2
554;2;2512;3883;0;2;0;0;2
555;2;2482;3781;1;1;0;0;2
556;1;10390;5188;2;0;0;0;1
557;1;2817;7151;0;0;1;0;1
558;2;6821;8832;1;0;0;1;2
559;1;6821;2512;0;0;1;1;1
560;1;1553;1880;0;0;4;1;1
561;2;8832;2956;1;1;0;0;2
562;1;3982;3781;0;2;0;0;1
563;0;3883;2817;3;1;0;0;0
564;1;4146;2705;0;1;1;0;1
565;0;2482;7938;0;0;1;0;0
566;1;7151;3890;0;1;1;0;1
567;2;5188;14695;0;5;1;0;2
568;1;7311;10390;1;3;0;0;1
569;1;2512;2482;0;0;2;0;1
570;2;3890;3982;0;1;1;0;2
571;0;2956;4146;2;1;0;0;0
572;1;2817;1553;0;1;0;0;1
573;0;1880;6821;0;1;2;0;0
574;2;2705;5188;0;0;1;2;2
575;2;3781;7151;0;1;1;0;2
576;2;7938;8832;0;0;0;1;2
577;1;14695;7311;6;2;0;0;1
578;1;10390;3883;0;0;1;0;1
579;2;3781;1553;0;0;2;1;2
580;0;2512;8832;1;1;0;0;0
581;2;3890;5188;0;1;2;0;2
582;1;2956;6821;0;0;0;0;1
583;1;2817;7311;1;0;0;1;1
584;1;10390;3982;1;2;0;0;1
585;0;1880;4146;0;0;0;0;0
586;1;2705;2482;0;0;2;1;1
587;1;7938;7151;0;2;1;0;1
588;1;14695;3883;7;0;0;1;1
589;1;3883;2705;0;1;2;0;1
590;0;4146;7938;0;1;0;0;0
591;0;7311;3890;0;0;2;3;0
592;1;8832;3781;0;0;0;3;1
593;1;3982;2512;0;0;1;0;1
594;1;7151;1880;0;0;1;0;1
595;2;5188;2956;2;1;0;0;2
596;2;6821;14695;0;8;1;0;2
597;2;2482;2817;0;2;2;0;2
598;2;1553;10390;1;2;0;0;2
599;0;2817;6821;3;0;0;2;0
600;0;10390;4146;3;0;0;0;0
601;0;7938;3883;0;1;0;0;0
602;1;1880;2482;0;0;1;3;1
603;0;2705;3982;0;1;1;0;0
604;2;2956;7311;2;0;0;0;2
605;0;2512;1553;0;0;1;1;0
606;1;3890;8832;0;1;0;0;1
607;1;3781;5188;0;0;4;1;1
608;1;14695;7151;9;1;0;0;1
609;1;1553;2817;0;0;0;0;1
610;0;3982;3890;0;1;0;0;0
611;2;3883;10390;0;0;0;0;2
612;1;2482;2512;0;0;4;0;1
613;2;4146;2956;0;0;0;1;2
614;0;8832;7938;0;0;1;0;0
615;1;5188;2705;0;0;2;0;1
616;1;6821;1880;0;1;0;0;1
617;2;7151;3781;0;1;1;0;2
618;2;7311;14695;1;10;0;0;2
619;2;2705;14695;0;11;1;0;2
620;0;5188;8832;1;0;0;0;0
621;1;14695;2956;12;1;0;0;1
622;0;3890;1880;0;0;0;1;0
623;0;2705;2512;0;0;2;1;0
624;2;4146;3883;0;0;1;1;2
625;2;2817;3982;0;0;1;0;2
626;1;2482;1553;1;1;0;0;1
627;0;7151;7311;0;0;2;1;0
628;0;3781;7938;2;0;0;0;0
629;1;6821;10390;1;1;0;0;1
630;1;3982;4146;1;0;0;2;1
631;0;2512;2817;0;0;0;2;0
632;1;3883;2482;1;2;0;0;1
633;0;7311;5188;0;0;0;0;0
634;2;2956;3781;0;0;1;0;2
635;2;1880;14695;0;13;0;0;2
636;2;1553;6821;0;2;1;0;2
637;1;7938;3890;0;0;0;0;1
638;2;8832;7151;0;0;0;0;2
639;1;10390;2705;0;0;1;0;1
640;1;8832;6821;0;0;1;1;1
641;0;3883;2512;2;0;0;0;0
642;1;3781;2482;1;0;0;1;1
643;1;2956;1553;0;0;2;2;1
644;1;4146;3890;0;0;3;1;1
645;2;5188;10390;0;1;0;0;2
646;1;7311;1880;0;0;0;1;1
647;1;7151;2817;1;0;0;0;1
648;1;7938;3982;1;2;0;0;1
649;1;14695;2705;0;0;1;1;1
650;1;1880;5188;0;0;2;1;1
651;2;2512;4146;0;1;0;0;2
