;Equipe;Points
280;KVOostende;2328
281;DinamoBucureşti;2312
282;JeonnamDragons;2288
283;Antalyaspor;2273
284;Botoşani;2269
285;Girona;2254
286;Getafe;2254
287;SpartaPraha;2242
288;Saint-Étienne;2236
289;Kasımpaşa;2232
290;BeitarJerusalem;2208
291;Caen;2203
292;GeneralDíaz;2175
293;CSKASofia;2171
294;Ružomberok;2162
295;Estoril;2160
296;Dijon;2154
297;Dallas;2147
298;ShandongLuneng;2142
299;IncheonUnited;2135
300;Tondela;2133
301;Toulouse;2127
302;AkhisarBelediyespor;2123
303;ArgentinosJuniors;2120
304;Oleksandria;2117
305;SlovanLiberec;2108
306;DeportivoCapiatá;2105
307;MamelodiSundowns;2101
308;VancouverWhitecaps;2093
309;Gwangju;2044
310;AIK;2038
311;ShanghaiShenhua;2034
312;SportivoLuqueño;2031
313;DeportesTolima;2028
314;Zirka;2024
315;Genoa;2008
316;TheStrongest;2006
317;JaguaresdeCórdoba;1980
318;Čukarički;1976
319;Sarpsborg08;1970
320;ACSPoliTimişoara;1967
321;SturmGraz;1962
322;PatriotasBoyacá;1958
323;SpartakTrnava;1953
324;PECZwolle;1946
325;Panionios;1934
326;Toronto;1932
327;MalmöFF;1928
328;Moreirense;1927
329;Rijeka;1923
330;JagielloniaBiałystok;1917
331;Belenenses;1917
332;AmkarPerm';1914
333;ENPPI;1914
334;Doxa;1912
335;EsteghlalKhuzestan;1911
336;AlBatin;1910
337;Teplice;1910
338;Hannover96;1909
339;Chornomorets;1904
340;Rangers;1900
341;BeijingGuoan;1883
342;MladáBoleslav;1882
343;DeportivoPasto;1881
344;Mariupol';1864
345;SportingGijón;1862
346;Zlín;1853
347;NewYorkRB;1851
348;LevskiSofia;1845
349;Norrköping;1842
350;DAC;1836
351;LaEquidad;1831
352;Molde;1830
353;Ismaily;1823
354;AlAin;1819
355;GuizhouZhicheng;1818
356;IndependienteFBC;1813
357;AlQuadisiya;1801
358;Luzern;1798
359;ArkaGdynia;1791
360;Nordsjælland;1783
