;Equipe;Points
618;UniversidadChile;930
619;Boavista;927
620;PolokwaneCity;927
621;Mjällby;920
622;GazMetanMediaş;913
623;IndependientedelValle;913
624;BoyacáChicó;910
625;HapoelRa'anana;907
626;FreeStateStars;900
627;AllBoys;900
628;LiaoningKaixin;891
629;ShanghaiShenxin;891
630;ArsenalTula;887
631;LaEquidad;880
632;HapoelAcre;878
633;Livorno;876
634;LeicesterCity;868
635;Hangzhou;864
636;ChivasUSA;862
637;Smouha;860
638;TorpedoMoskva;854
639;Westerlo;851
640;RoyalExcelMouscron;851
641;CeahlăulPiatraNeamţ;846
642;AmaZulu;844
643;DeportivoPasto;844
644;AucklandCity;839
645;ChangchunYatai;837
646;Caen;834
647;HamiltonAcademical;825
648;FortalezaCEIF;820
649;ColoradoRapids;816
650;UniversidadGuadalajara;810
651;HenanJianye;810
652;Huracán;810
653;TractorSazi;799
654;Zamora;798
655;SoldeAmérica;784
656;RubioÑú;783
657;DalianYifang;783
658;RKCWaalwijk;781
659;Olimpia;776
660;ZagłębieLubin;773
661;SantosdeGuápiles;767
662;MorokaSwallows;763
663;Sogndal;762
664;St.Mirren;750
665;BneiYehuda;748
666;AEKouklion;745
667;AEKLarnaca;743
668;Uruguay;731
669;Limón;730
670;BATE;708
671;Uniautónoma;706
672;Antalyaspor;702
673;SandnesUlf;700
674;3deFebrero;697
675;Bełchatów;695
676;Chorrillo;690
677;ČeskéBudějovice;684
678;Nitra;684
679;Vaduz;671
680;AlAhliBenghazi;664
681;Municipal;661
682;IroniRamatHaSharon;660
683;Hearts;650
684;Vaslui;645
685;Podbrezová;642
686;RadničkiKragujevac;637
687;Enosis;636
688;Split;633
689;GórnikŁęczna;618
690;Cesena;614
691;RodaJC;613
692;Hobro;604
693;MladostLučani;603
694;O'Higgins;600
695;ChippaUnited;600
696;RealGarcilaso;600
697;RacingSantander;600
698;LausanneSport;590
699;OHLeuven;585
700;ChernomoretzBurgas;575
701;RealEspaña;572
702;ZhejiangYiteng;567
703;12deOctubre;567
704;WiganAthletic;565
705;Kerkyra;559
706;SăgeataNăvodari;556
707;KrylyaSovetov;550
708;TokushimaVortis;546
709;RamplaJuniors;539
710;Atenas;539
711;Dundee;525
712;Zimbru;519
713;Liverpool;508
714;Mons;507
715;DeportivoAnzoátegui;484
716;Aris;473
717;MontedioYamagata;471
718;ACSPoliTimişoara;468
719;AlRayyan;464
720;Brommapojkarna;457
721;AméricaRN;450
722;Bragantino;450
723;Ceará;450
724;SportingCristal;450
725;SportingCristal;450
726;Alcorcón;450
727;DeportivoQuito;450
728;LéopardsdeDolisié;434
729;AlKuwait;429
730;Hibernian;425
731;MaccabiNetanya;424
732;HapoelPetahTikva;424
733;CharltonAthletic;424
734;SheffieldUnited;424
735;HradecKrálové;418
736;BoracČačak;414
737;JavorIvanjica;413
738;AlQadsia;413
739;SigmaOlomouc;411
740;Kaiserslautern;407
741;Moulins;403
742;WackerInnsbruck;392
743;Marek;387
744;Enyimba;383
745;CSMIaşi;374
746;EstudiantesCaseros;360
747;Dordrecht;349
748;SlobodaUžice;349
749;RapidBucureşti;343
750;Znojmo;342
751;Astana;341
752;Viborg;338
753;WidzewŁódź;336
754;RealEstelí;333
755;RoburSiena;328
756;PirinGotseDelchev;325
757;AlTa'ee;325
758;Neftohimik;325
759;Shakhtyor;324
760;Stjarnan;320
761;Haskovo;320
762;MiramarMisiones;317
763;Tuzlaspor;316
764;JEFUnited;314
765;Balıkesirspor;312
766;Debrecen;310
767;Puntarenas;309
768;DesportivoAves;302
769;Troyes;302
770;GoldenArrows;300
771;İnterBakı;300
772;Barcelona;300
773;SlovanDusloŠaľa;299
774;ShakhterKaragandy;293
775;RajaCasablanca;291
776;Famalicão;287
777;Aktobe;286
778;CerroLargo;286
779;NõmmeKalju;283
780;Huachipato;267
781;NikiVolos;261
782;St.Pölten;260
783;AlMerreikh;248
784;OrientePetrolero;248
785;ClubUniversitario;246
786;Linfield;245
787;AyiaNapa;239
788;Othellos;238
789;Tosno;237
790;RotorVolgograd;237
791;PumaGeneraleña;237
792;AGF;236
793;Alki;229
794;Poprad;225
795;Tacuarembó;223
796;NacionalPotosí;219
797;Orenburg;216
798;FatihKaragümrük;210
799;SivasBelediyespor;210
800;SivasBelediyespor;210
801;Koper;209
802;ÁrabeUnido;202
803;AngersSCO;201
804;Volga;200
805;Chikhura;198
806;StalKamianske;189
807;ArkaGdynia;188
808;RayonSports;186
809;SligoRovers;183
810;OlympiakosVolos;174
811;FAS;171
812;VPS;170
813;CherkaskyiDnipro;169
814;Manisaspor;158
815;Altınordu;158
816;AdanaDemirspor;158
817;LuchVladivostok;158
818;Giresunspor;158
819;Cizrespor;158
820;Caracas;154
821;Münsingen;153
822;Buochs;153
823;VascodaGama;150
824;AlbionRovers;150
825;ABC;150
826;Rangers;150
827;Kairat;145
828;Víkingur;144
829;Tavriya;144
830;KapfenbergerSV;142
831;FloridsdorferAC;142
832;Brighton&HoveAlbion;141
833;GreutherFürth;136
834;CésarVallejo;135
835;Třinec;135
836;FH;135
837;Horsens;131
838;Horn;130
839;Shkendija;130
840;Gangwon;127
841;Sheriff;127
842;Mioveni;126
843;FlamurtariVlorë;119
844;CoronaBraşov;116
845;Silkeborg;116
846;PittsburghRiverhounds;115
847;OrlandoCity;115
848;NYCosmos;115
849;LaredoHeat;115
850;IndyEleven;115
851;MinnesotaUnited;115
852;AtlantaSilverbacks;115
853;SanAntonioScorpions;115
854;PhoenixRising;115
855;RichmondKickers;115
